Country Name,Country Code,Series Name,Series Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990]
Singapore,SGP,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,2.5,2.59,2.47,2.77,2.67,2.69,2.53,2.4,2.32,2.06,2.48,3.06,2.9,2.57,3.03,3.08,4.83,4.43,3.83,4,3.47,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,5121.80431773157,4880.40607042352,4898.33046490716,5069.17179429009,5006.62099161429,4257.77627715925,5094.13571445693,4677.2043057151,5264.39865814355,5055.96631973373,7370.65287721784,6216.7391768206,5065.98450651947,5145.88575383542,4634.72585005488,4587.49349221959,5083.24962256949,5818.3490260108,5359.40980258828,5346.87556213552,6460.481982119,5487.60891524326,4588.84550645093,4167.36558489839,3782.72027598411
Singapore,SGP,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,90.5788735805032,94.0061562567706,96.3290893976468,97.7014503745766,97.6880328585997,97.9328422483173,98.2467526672708,98.1286997395141,98.3013645776058,98.1711273728879,98.7137391727025,98.4042484988742,98.1551193464635,98.1682125594019,98.9178093257437,98.8875652676099,98.9880080172303,99.085308181757,98.9730748642022,98.9279650752623,99.085382941086,98.91353109242,98.6372976128307,98.4536974522154,99.3917380271875
Singapore,SGP,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,..,..,..,..,..,..,..,..,1.82088664088069,1.66261644390441,1.54683232921262,1.35828489919312,1.32774131861446,1.3050858667137,1.29826008881555,1.2584797564542,1.18396421364841,1.20937072156584,1.25088320728548,1.3012414767325,1.40099626400996,1.36452804061851,1.42947807428451,0.773724932891205,0.829945799457995,0.863436123348018,0.910848390214886,1.01659751037344,1.10142060780435,1.17511631253298,1.29205779981015,1.38621704198257,1.44790497015543,0.540918925798651
Singapore,SGP,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,0.92,0.89,0.78,0.7,0.71,0.65,0.59,0.56,0.51,0.48,0.47,0.48,0.53,0.5,0.52,0.54,0.53,0.58,0.58,0.6,0.33,0.43,0.43,0.43,0.46,0.45,0.48,0.52,0.53,0.5,0.19
Singapore,SGP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,7.68668370206727,7.91841038479591,8.01821207673574,8.43229982682534,8.0198912735455,8.20810904856042,8.11713717182074,8.13316955483092,8.22453047443198,8.63611004366003,8.35450837270906,7.78571060513801,7.93975115902894,8.34372321486362,8.44547089368866,8.65059982249361,9.50851808545158,9.27322321770106,9.88776206611669,10.1573654208833,10.4564750699312,9.54906418054509,9.43343281864263,10.0530078992887,10.4939270505058,10.6630262510548,11.10800433337,10.9142950096741,9.72263578954145,9.72060388831811,9.50730063548281
Singapore,SGP,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC,..,..,..,0.764649741188894,0.745366888872564,0.736335020845319,0.723483552861925,0.705801877486833,0.696750696567047,0.679385172451115,0.662450444346734,0.646879228873679,0.636425366264328,0.621967225766497,0.59736677758902,0.579949936521004,0.573552928900521,0.55827428286452,0.535608499020808,0.522698069246764,0.502817390820414,0.470562367604976,0.449096997543748,0.433090628163104,0.429482478819559,0.422192970689392,0.426491720841572,0.430351598766885,0.436260540058664,0.431582811940634,0.426615114482668,0.41778317533858,0.411216618188418,0.420933582135595
Singapore,SGP,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),EN.ATM.NOXE.PC,..,..,..,1.81354727481956,1.74088695709651,1.69238093729805,1.63410959324179,1.56675715493582,1.51614226209855,1.47312715010849,1.43146221635876,1.39404832038479,1.36666715898025,1.32973953066658,1.39795664203812,1.48870098231267,1.62035269479856,1.74092903724186,1.8506357147914,1.97192088586937,2.07455698612772,2.12356026365258,2.22131128232591,2.35943049047801,2.32925215201973,2.29450730912736,2.32015353903201,2.34434361010858,2.38405851288095,1.97699657916473,1.54399250363139,1.07584768678471,0.587996156720572,0.0689077926391111
Singapore,SGP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,18.76588248,18.49335298,18.55801565,17.63850257,18.29501195,17.73247308,18.59998502,17.53182291,16.42814491,15.07604341,..,..,..,..,16.01396045,..,..,..,..,18.36867682,..,..,..,..,18.11365004,..,..,..,..,22.14420675
