"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"GEO","Georgia",9.526,7.853,8.64,8.84,8.998,8.732,8.318,8.463,8.503,8.439,8.458,8.374,8.33,8.475,8.674,8.971,9.009,8.769,8.874,9.191,9.628,10.646,11.676,12.573,13.032,10.834,11.28,11.28
"GHA","Ghana",0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.99,0.99,1.048,1.048,1.048,0.97,1.015,1.237,1.119,1.123,1.121,1.127,1.434,2.044,2.161,2.344,4.533,2.719,3.66,3.66,3.66
"GIN","Guinea",0.586,0.586,0.586,0.586,0.586,0.548,0.548,0.548,0.548,0.602,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.718,0.494,0.204,0.204,0.795,0.795,0.795,0.795,0.795
"GMB","Gambia",1.236,1.236,1.236,1.236,1.236,1.236,1.236,1.236,1.301,0.534,0.541,0.542,0.806,0.871,0.871,0.871,0.871,1.254,1.254,1.254,1.525,1.525,0.748,0.735,0.667,0.965,0.965,0.965
"GNB","Guinea-Bissau",0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.936,0.936,0.936,0.936,0.692,0.763,0.763,0.608,0.608,0.58,0.57,0.737,0.669,0.669,0.832,0.832,0.963,1.273,1.273
"GNQ","Equatorial Guinea",0.536,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.787,0.62,0.62,0.62,0.62,0.62
"GRC","Greece",6.629,6.63,6.745,6.879,6.983,7.091,7.305,7.656,7.68,7.673,8.524,8.814,9.056,9.213,9.431,9.517,9.57,9.431,9.393,9.367,9.363,9.646,9.693,9.824,9.945,10.004,10.004,10.004
"GRD","Grenada",4.339,4.339,4.078,4.078,4.241,3.948,3.93,3.919,3.901,3.901,3.901,4.208,4.208,4.208,4.208,4.208,4.208,4.208,4.208,4.208,4.208,4.208,4.094,7.061,7.061,7.061,7.061,7.061
"GTM","Guatemala",1.973,1.973,1.806,1.806,1.742,1.742,1.742,1.742,1.742,1.742,1.742,1.742,1.742,1.742,1.781,1.781,1.781,1.781,1.781,1.864,1.888,1.93,1.513,1.676,1.676,3.588,3.588,3.588
"GUY","Guyana",2.62,2.62,2.471,2.471,2.471,2.772,2.772,2.772,2.772,2.772,2.772,2.772,2.772,2.772,1.53,1.697,1.697,1.697,1.417,1.327,1.398,1.433,1.488,2.835,4.461,4.888,4.888,4.888
"HND","Honduras",1.931,1.931,2.113,2.113,2.113,1.833,1.833,1.833,1.833,1.833,1.385,1.385,1.385,1.385,1.385,1.136,1.136,1.136,0.976,0.954,0.94,1.304,1.019,1.016,1.016,1.202,1.202,1.202
"HRV","Croatia",6.621,6.797,7.063,7.084,7.134,7.166,7.264,7.334,7.44,7.628,7.692,7.834,8.092,8.315,8.219,8.539,8.726,8.921,9.125,9.206,9.316,11.29,11.405,11.476,11.559,11.559,11.559,11.559
"HTI","Haiti",0.264,0.264,0.264,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,1.344,1.344,1.437,1.437,0.372,0.372,0.372,0.639,0.639,0.639,0.639,0.639
"HUN","Hungary",8.586,8.691,8.634,8.776,8.702,8.173,8.618,9.09,9.229,9.321,8.939,9.442,8.925,9.424,9.418,9.264,9.36,9.584,9.805,9.906,9.737,9.812,10.088,10.251,10.351,9.957,9.895,9.895
"IDN","Indonesia",0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.95,0.945,0.945,1.006,1.006,1.006,1.569,1.569,2.431,3.547,4.289,4.605,4.673,4.673
"IND","India",1.84,1.84,1.84,1.84,1.84,1.84,1.855,1.855,1.916,1.93,1.961,1.961,1.961,1.961,1.961,1.961,1.961,1.961,1.961,1.961,1.961,1.961,2.762,2.385,2.385,2.455,2.455,2.455
"IRL","Ireland",14.113,14.543,15.093,15.412,15.967,16.319,17.294,17.855,17.494,15.213,15.89,16.32,17.627,17.651,17.064,17.71,17.636,17.06,16.608,15.305,15.583,14.879,17.762,16.272,18.943,21.914,18.962,18.962
"IRN","Iran, Islamic Republic of",2.244,2.244,2.244,2.443,2.443,2.443,2.443,2.443,2.443,2.274,2.279,2.203,2.203,2.203,2.203,2.203,2.484,2.484,2.484,2.972,2.92,2.92,3.588,3.498,3.498,3.498,3.498,3.498
"IRQ","Iraq",1.87,1.87,1.87,1.87,1.87,1.87,1.863,1.863,1.863,1.978,1.98,1.98,1.577,1.577,1.577,1.68,1.68,1.68,2.579,2.729,2.525,2.431,2.512,2.606,2.606,3.169,3.169,3.169
"ISL","Iceland",16.112,16.208,17.097,17.564,17.519,17.419,17.371,17.555,17.983,18.052,18.349,18.091,18.38,19.299,19.705,18.908,19.181,19.508,19.865,19.782,20.042,18.849,19.161,19.361,20.041,20.221,20.221,20.221
